,departement,dep_nom,Nom lieu,Adresse postale,Numero de téléphone,Site Web,Nom Prenom du référent,Mail contact,Activites proposees,Activites-codes,Initions et/ou formations proposées,Formations-codes,Conditions d'acces,acces-codes,Public,publics-codes,APTIC,Date de mise a jour,URL illustration / Logo
49300,49,Maine-et-Loire,CS Pasteur,1 Rue du Docteur Maillard 49300 Cholet,02 41 65 01 05,https://cspasteur.centres-sociaux.fr/presentation/,NC,cs.pasteur@wanadoo.fr,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet  Culture numérique,PrMa--PrLo--PrIn--CuNu,Accompagnements individuels Accompagnements collectifs Autonomie,AcCo,Gratuit,G,Tout public,Tp,Non,,
49300,49,Maine-et-Loire,Espace Jeunesse / CIJ,Rue Saint-Bonaventure 49300 Cholet,02 41 49 55 00 ,NR,NR,ejeune@ville-cholet.fr,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,NR,NR,NR,NR,
49300,49,Maine-et-Loire,Maison départementale des solidarité du Choletais,26 Avenue Maudet 49300 Cholet,02 41 46 20 00,https://www.maine-et-loire.fr/contacter-le-departement/maisons-departementales-des-solidarites/mds-choletais,NC,NC,Démarches administratives en ligne,DeAd,Accompagnements individuels Autonomie,AcIn- Au,Gratuit,G,Adultes / Familles,Af,Non,23/07/2020,https://www.maine-et-loire.fr/fileadmin/Departement/Contact/MDS-choletais.jpg
49300,49,Maine-et-Loire,Mission locale du Choletais,48 Rue des Bons Enfants 49300 Cholet,02 41 49 81 00,https://www.missionlocaleducholetais.org/,NC,mlc@mlducholetais.org,Culture numérique  Premiers pas sur internet,PrIn--CuNu,Accompagnements individuels,AcIn,Gratuit,G,Tout public,Tp,Non,,
49300,49,Maine-et-Loire,Service Emploi (Agglomération du Choletais),48 Rue des Bons Enfants 49300 Cholet,02 44 09 25 90,NC,NC,NC,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet,PrMa--PrLo--PrIn,Accompagnements individuels,AcIn,Gratuit,G,Demandeurs Emploi Salaries,De- Sa,Non,,
49300,49,Maine-et-Loire,Sous-préfecture de Cholet,30 Rue Trémolière 49300 Cholet,NC,NC,NC,NC,Démarches administratives en ligne,DeAd,Accompagnements individuels Autonomie,Au,Gratuit,G,Adultes / Familles,Af,Non,,
49307,49,Maine-et-Loire,Centre Social Le Verger,Rue du Bois Régnier 49307 Cholet,02 41 65 14 99,https://cs-leverger.fr/,NC,verger.multimédia@wanadoo.fr,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internet Approfondissement logicielsApprofondissement internetDémarches administratives en ligneConseils,PrMa-PrLo--PrIn-ApLo-ApIn-DeAd-Co,Accompagnements individuelsAccompagnements collectifsEchange de savoirsAutonomieInitiation,AcCo-AcIn-Au-EcSa-In,Adhesion,,Tout public,Tp,Non,23/07/2020,
49310,49,Maine-et-Loire,Centre socio-culturel Le Coin de la rue,2 Rue du Comte de Champigny 49310 Vihiers,02 41 75 42 70,https://www.csc-lecoindelarue.fr/,NC,accueil@csc-lecoindelarue.fr,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internet Démarches administratives en ligneConseils,PrMa-PrLo-PrIn-DeAd-Co,Accompagnements collectifsAccompagnements individuels AutonomieInitiations,AcCo- AcIn- Au- In,Gratuit,G,Tout public,Tp,Non,23/07/2020,
49312,49,Maine-et-Loire,Médiathèque Élie Chamard,Rue Travot 49312 Cholet,02 72 77 23 41,https://e-changes.cholet.fr/default/mediatheque-elie-chamard.aspx,NC,https://e-changes.cholet.fr/default/contact.aspx,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet Culture numérique  Lecture & activités,PrMa--PrLo--PrIn--CuNu--LeAc,Echange de savoirs  Accompagnements collectifs Autonomie,AcCo- Au- EcSa,Gratuit,G,Tout public,Tp,Non,,
49320,49,Maine-et-Loire,Résidence Pannetier,81 Rue du Verdun 49320 Brissac-Quincé,02 41 54 22 60,https://www.brissacloireaubance.fr/ateliers-numeriques-2/,NC,ateliersnumeriques@brissacloireaubance.fr,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet,PrMa-PrLo--PrIn,Initiations,In,Adhesion,,Tout public,Tp,Non,,
49321,49,Maine-et-Loire,Pôle Emploi Cholet,24 Rue du Carteron 49321 Cholet,3949,https://www.pole-emploi.fr/annuaire/cholet-49019,NC,NC,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet Démarches administratives en ligne,PrMa--PrLo--PrIn--DeAd,Accompagnements individuels  Autonomie  Initiations,AcIn- In- Au,Gratuit,G,Demandeurs Emploi,De,Non,,
49330,49,Maine-et-Loire,Bibliothèque de Châteauneuf-sur-Sarthe - L'Attire-Lire,18 Rue tranchepied 49330 Châteauneuf-sur-Sarthe,02 41 33 88 54,https://valleesduhautanjou.fr,NC,reseau.bibliotheques@valleesduhautanjou.fr,Lecture & activités,LeAc,Autonomie,Au,Gratuit,G,Tout public,Tp,Non,,
49330,49,Maine-et-Loire,Bibliothèque de Marigné,Rue Max Richard 49330 Marigné,02 41 27 66 95,https://valleesduhautanjou.fr,NC,reseau.bibliotheques@valleesduhautanjou.fr,Lecture & activités,LeAc,Autonomie,Au,Gratuit,G,Tout public,Tp,Non,,
49330,49,Maine-et-Loire,CAF Châteauneuf-sur-Sarthe,2 Rue des Fontaines 49330 Châteauneuf-sur-Sarthe,NR,https://annuaire.action-sociale.org/CAF/CAF-49080-01-caf-du-maine-et-loire---accueil-de-chateauneuf-sur-sarthe.html,NR,NR,Démarches administratives ,DeAd,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,NR,NR,NR,NR,
49330,49,Maine-et-Loire,L'archy'Made- Cybercentre Haut Anjou,14 ter Allée de la Passion 49330 Champigné,02 41 48 67 44,http://cybercentrehautanjou.fr,NC,cybercentrehautanjou@orange.fr,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet  Approfondissement logiciels Approfondissement internet,PrMa---PrLo--PrIn--ApLo--ApIn,Accompagnements individuels Formations collectives Autonomie,AcIn- FoCo- Au,Adhesion,,Tout public,Tp,Non,,
49330,49,Maine-et-Loire,MSAP de Châteauneuf-Sur-Sarthe,2 rue des Fontaines 49330 Châteauneuf-sur-Sarthe,02 41 24 10 66,https://www.maisondeservicesaupublic.fr/content/des-vallees-du-haut-anjou-chateauneuf-sur-sarthe,NC,msap@valleesduhautanjou.fr,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet Démarches administratives en ligne,PrMa--PrLo--PrIn--DeAd,Accompagnements collectifs Accompagnements individuels Autonomie,AcCo- AcIn- Au,Gratuit,G,Tout public Demandeur Emploi,Tp- De,Non,,
49340,49,Maine-et-Loire,CSI Chloro'fil,40bis Rue de la Libération 49340 Nuaillé,02 41 55 93 41,https://csichlorofil.centres-sociaux.fr/,NC,chlorofil@wanadoo.fr,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet,PrMa--PrLo--PrIn,Echange de savoirs Autonomie,Au- EcSa,Gratuit,G,Tout public,Tp,Non,,
49350,49,Maine-et-Loire,Bibliothèque municipale Gennes,"""Château de la Roche"" Route de Louerre 49350 Gennes",02 41 51 09 88,bibliotheques-gennesvaldeloire.fr,NC,bibliotheque@gennesvaldeloire.fr,Lecture & activités,LeAc,Autonomie,Au,Gratuit,G,Tout public,Tp,Non,,
49350,49,Maine-et-Loire,Cyberpoint des Rosiers-sur-Loire,15 Rue du Mail 49350 Les Rosiers-sur-Loire,02 41 53 79 38,https://saumur-pom.c3rb.org/le-reseau-des-bibliotheques-de-lagglo/cybercentre-longue-jumelles/2898-cybercentres-loire-longue,NC,pole.multimedia@agglo-saumur.fr,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet  Approfondissement logiciels Approfondissement internet,PrMa--PrLo-PrIn-ApLo-ApIn,Accompagnements collectifs Initiations  Autonomie,AcCo- In- Au,Gratuit,G,Tout public,Tp,Non,23/07/2020,
49370,49,Maine-et-Loire,Bibliothèque de Bécon Les Granits,25 Rue d'Angers 49370 Bécon-Les-Granits,02 41 87 64 78,https://www.valleesduhautanjou.fr,NC,reseau.bibliotheques@valleesduhautanjou.fr,Lecture & activités,LeAc,Autonomie,Au,Gratuit,G,Tout public,Tp,Non,,
49370,49,Maine-et-Loire,Bibliothèque de La Pouëze,3 Cours de l'Arquenay 49370 Erdre-En-Anjou,02 41 41 5 67,http://bibliothequelapoueze.free.fr/,NC,bibliothequelapoueze@free.fr,Lecture & activités,LeAc,Autonomie,Au,Gratuit,G,Tout public,Tp,Non,,
49370,49,Maine-et-Loire,Bibliothèque de Villemoisan,3 Rue de la Commanderie 49370 Villemoisan,02 41 39 21 72 ,https://www.valleesduhautanjou.fr,NC,reseau.bibliotheques@valleesduhautanjou.fr,Lecture & activités,LeAc,Autonomie,Au,Gratuit,G,Tout public,Tp,Non,,
49370,49,Maine-et-Loire,Bibliothèque du Louroux-Béconnais,5 Place de la mairie 49370 Le Louroux-Béconnais,02 41 48 75 98,https://www.valleesduhautanjou.fr,NC,reseau.bibliotheques@valleesduhautanjou.fr,Lecture & activités,LeAc,Autonomie,Au,Gratuit,G,Tout public,Tp,Non,,
49380,49,Maine-et-Loire,Centre Socio Culturel des Coteaux du Layon,Neufbourg  Thouarcé 49380 Bellevigne en Layon,02 41 54 06 44,https://coteauxdulayon.centres-sociaux.fr/centre-socioculturel/,NC,csc.thouarce@wanadoo.fr,Démarches administratives en ligne,DeAd,Accompagnements individuels Accompagnements collectifs Initiations  Autonomie,AcCo- AcIn- In- Au,Adhesion,,Tout public,Tp,Non,23/07/2020,
49390,49,Maine-et-Loire,Bibliothèque de Vernantes,28 Rue de Jalesnes 49390 Vernantes,09 67 23 76 32,NC,NC,biblio.vernantes@orange.fr,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet  Culture numérique  Lecture & activités,PrMa--PrLo--PrIn--CuNu--LeAc,Autonomie  Initiations,AcCo,Gratuit,G,Tout public,Tp,Non,,
49390,49,Maine-et-Loire,Club d'Initiation et de Perfectionnement en informatique,Place de la Mairie 49390 Vernantes,02 41 51 40 6402 41 51 04 49,http://www.vernantes.fr/associations/autres-associations/item/club-d-initiation-et-de-perfectionnement-en-informatique?category_id=9,NR,NR,Prise en main du matérielPrise en main des logiciels de basePrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numérique,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,Formations collectivesFormations individuellesInitiationsAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,NR,
49390,49,Maine-et-Loire,Club Initiation Perfectionnement Informatique,Rue de la Chambardière 49390 Vernoil-le-Fourrier,02 41 51 40 64,http://www.vernoil.mairie49.fr/un-club-informatique,NC,NC,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet  Approndissement logiciels Appronfondissement internet,PrMa--PrLo--PrIn--ApLo--ApIn,Initiations  Accompagnements collectifs,AcCo- In,Adhesion  Payant,P,Séniors  Tout public,Tp- S,Non,,
49390,49,Maine-et-Loire,Cyberpoint Bibliothèque de Vernantes,28 Rue de Jalesne 49390 Vernantes,02 41 59 36 8802 41 53 79 38,http://www.vernantes.fr/associations/item/cyberpoint-de-vernantes,NC,cybercentres@agglo-samur.fr,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet  Approfondissement logiciels Approfondissement internets,PrMa--PrLo--PrIn--ApLo--ApIn,Accompagnements collectifs Initiations  Autonomie,AcCo- In- Au,Adhesion,,Tout public,Tp,Non,23/07/2020,http://www.vernantes.fr/images/associations/cyberpoint-de-vernantes/logo/cybercentre-loire-longue.jpg
49400,49,Maine-et-Loire,AFRIEJ Culture et Loisirs,8 Rue de l'Échallier 49400 Distré,02 41 50 46 45,https://www.famillesrurales.org/afriej/,NC,animationfamille.afriej@gmail.com,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet,PrMa--PrLo--PrIn,Accompagnements collectifs,AcCo,Gratuit,G,Tout public,Tp,Non,,
49400,49,Maine-et-Loire,CS Jacques Percereau,925 Avenue François Mitterand 49400 Saumur,02 41 53 51 51,https://www.ville-saumur.fr/sport-et-loisirs/espace-jacques-percereau,NC,n.perrot@ville-saumur.fr,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet  Démarches administratives en ligne,PrMa---PrLo--PrIn--DeAd,Accompagnements collectifs Accompagnements individuels Autonomie,AcCo- AcIn- Au,Gratuit,G,Tout public,Tp,Non,,
49400,49,Maine-et-Loire,L'@telier,31 Rue du Portail Louis 49400 Saumur,09 50 18 57 23,https://atelier.city/,NC,contact@atelier.city,Culture numérique,CuNu,Autonomie,Au,NC,,Tout public,Tp,Non,,
49400,49,Maine-et-Loire,Loisirs Pour Tous,Salle des Loisirs 49400 Villebernier,06 24 86 31 91,https://www.facebook.com/Loisirs-pour-tous-Villebernier-120161588335509/,NC,loisirs.pour.tous.villebernier@gmail.com,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet,PrMa--PrLo--PrIn,Accompagnements collectifs Initiations,AcCo- In,Gratuit,G,Tout public,Tp,Non,,
49400,49,Maine-et-Loire,Mairie de Souzay-Champigny,52 Route des Ducs d’Anjou 49400 Souzay-Champigny,02 41 51 14 16,http://www.souzay-champigny.mairie49.fr/,NC,NC,Démarches administratives en ligne,DeAd,Autonomie,Au,Gratuit,G,Tout public,Tp,Non,,
49400,49,Maine-et-Loire,MJC Saumur,Place de Verdun 49400 Saumur,02 41 40 25 60,https://mjcsaumur.com/multimedia/,NC,infos@mjcsaumur.com,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internet Approfondissement logicielsApprofondissement internetDémarches administratives en ligneConseils,PrMa---PrLo--PrIn--ApLo--ApIn-DeAd-Co,Accompagnements collectifsInitiationsAccompagnements individuelsAutonomie,AcCo-In-AcIn-Au,Adhesion,,Tout public,Tp,Non,23/07/2020,
49400,49,Maine-et-Loire,Saumur - sous-préfecture,33 Rue Beaurepaire 49400 Saumur,02 41 81 83 83,http://www.maine-et-loire.gouv.fr/sous-prefecture-de-saumur-r439.html,NC,NC,Démarches administratives en ligne,DeAd,Accompagnements individuels Autonomie,AcIn- Au,Gratuit,G,Adultes / Familles,Af,Non,,
49400,49,Maine-et-Loire,SCOOPE,325 Rue Robert Amy 49400 Saumur,02 41 50 14 28,www.association-scoope.fr,Laurent CHIRON ,scoope@orange.fr,Prise en main du matérielPrise en main des logiciels de basePrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numérique,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,Formations collectivesFormations individuellesInitiationsAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,Gratuit-Payant à coût solidaireAdhésion,G-CondP,Jeunes-adultes-Personnesâgées-Famille/enfant,Tp,NR,23/07/2020,http://www.association-scoope.fr/images/presentation/ScoopeCV.jpg
49410,49,Maine-et-Loire,Bibliothèque Saint-Florent-le Vieil,12 Avenue de l'Europe 49410 Saint-Florent-le-Vieil,02 41 72 75 52,http://mauges-sur-loire-pom.c3rb.org/,NC,NC,Lecture & activités,LeAc,Autonomie,Au,Gratuit,G,Tout public,Tp,Non,,
49410,49,Maine-et-Loire,Cybercentre - ERN ValMauges,ZI DE LA LANDE (Saint-Florent-le-Vieil) 49410 Mauges-sur-Loire,NR,https://cybercentrevalmauges.wordpress.com/,NR,NR,Prise en main du matérielPrise en main des logiciels de basePrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numérique,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,Formations collectivesFormations individuellesInitiationsAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,NR,
49418,49,Maine-et-Loire,Médiathèque de Saumur / Réseau Imagin'R,Rue Célestin-Port 49418 Saumur,02 41 51 06 12,http://www.bibliotheques.agglo-saumur.fr,NC,bibliotheques.contact@agglo-saumur.fr,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet Culture numérique  Lecture & activités,PrMa--PrLo--PrIn--CuNu--LeAc,Accompagnements collectifs Autonomie,AcCo- Au,Gratuit,G,Tout public,Tp,Non,,
49420,49,Maine-et-Loire,Bibliothèque Jules Mougin-Pouancé,4 Boulevard de la Prevalaye (Pouancé) 49420 Ombrée d'Anjou,02 41 92 48 21,https://www.ombreedanjou.fr/bibliotheque-jules-mougin-pouance/,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,NR,NR,NR,NR,
49420,49,Maine-et-Loire,MSAP Ombrée d'Anjou,36 Rue du maréchal Foch 49420 Pouancé,02 41 92 48 01,https://www.ombreedanjou.fr/,NC,msap@ombreedanjou.fr,Démarches administratives en ligne,DeAd,Autonomie  Accompagnements individuels,AcIn- Au,Gratuit,G,Tout public,Tp,Non,,
49430,49,Maine-et-Loire,Maison de Services Au Public de Durtal,11 rue Joseph Cugnot 49430 Durtal,02 41 96 10 40,https://www.ccals.fr/maisons-des-services-au-public/,NC,mspdurtal@ccals.fr,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneConseils,PrMa-PrLo-PrIn-DeAd-Co,Accompagnements individuels Intitiations Autonomie,AcIn- In- Au,Gratuit,G,Tout public,Tp,Non,23/07/2020,
49440,49,Maine-et-Loire,Bibliothèque de la Cornuaille,1 Place de l'Eglise 49440 La Cornuaille,02 41 94 44 80,https://www.valleesduhautanjou.fr,NC,reseau.bibliotheques@valleesduhautanjou.fr,Lecture & activités,LeAc,Autonomie,Au,Gratuit,G,Tout public,Tp,Non,,
49440,49,Maine-et-Loire,CARSAT,1 Avenue Firmin Tortiger 49440 Candé,3960,https://demarchesadministratives.fr/caisses-de-retraite/cande-49440,NR,NR,Démarches administratives en ligneConseilsPremiers pas InternetPrise en main logiciels,DeAd-Co-PrIn-PrLo,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,NR,NR,NR,NR,
49440,49,Maine-et-Loire,Espace culturel Candéen,1 Rue Firmin Tortinger 49440 Candé,02 41 94 19 40,https://www.sic-candeen.fr/,NC,accueilsc@sic-candeen.fr,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet  Approfondissement logiciels Approfondissement internet Démarches administratives en ligne,PrMa--PrLo--PrIn--DeAd--ApLo--ApIn,Formations collectives Autonomie,FoCo- Au,Adhesion,,Tout public,Tp,Non,,
49450,49,Maine-et-Loire,Médiathèque Saint Exupéry,6 Rue Jean Moulin 49450 Sèvremoine,02 41 46 71 89,https://bibliotheques.moineetsevre.fr/,NC,bibliotheques@sevremoine.fr,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet Culture numérique  Lecture & activités,PrMa--PrLo--PrIn--CuNu--LeAc,Autonomie  Accompagnements individuels  Initiations,AcIn- In- Au,Gratuit,G,Tout public,Tp,Non,,
49460,49,Maine-et-Loire,CS Espace Solidarité Nelson Mandela,1 Allée Henri David 49460 Montreuil-Juigné,02 41 31 85 10,http://www.ville-montreuil-juigne.fr/Social-sante/Espace-solidarite-Nelson-Mandela,NC,mcoelho@vile-montreuil-juigne fr,Premiers pas sur internet  Prise en main du matériel,PrMa--PrIn,Autonomie,Au,,,Tout public,,Non,,
49460,49,Maine-et-Loire,Espace Jeunesse / PIJ,10 Rue Lamartine 49460 Montreuil-Juigné,02 41 96 90 40,https://www.ville-montreuil-juigne.fr/Enfance-jeunesse-education/Jeunes-10-15-ans/Espace-jeunesse,NR,accueil.ej@orange.fr,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,NR,NR,NR,NR,
49480,49,Maine-et-Loire,Bibliothèque Maison Rouge,13 Rue Victor Hugo 49480 Verrières-en-Anjou,02 41 76 34 50,NC,NC,bibliotheque@verrieres-anjou.fr,Prise en main du matérielPrise en main des logiciels de base Premiers pas sur internet Lecture & activités,PrMa--PrLo--PrIn--LeAc,Initiations Autonomie,In- Au,Gratuit,G,Tout public,Tp,Non,,
49480,49,Maine-et-Loire,3A- Espace jeunesse / PIJ,1 Rue des Chênes 49480 Saint-Sylvain-d'Anjou ,02 41 25 10 74 ,https://www.verrieresenanjou.fr/contacts/3a-espace-jeunesse/,Elise Guyot ,NR,Démarches administratives ,DeAd,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,Enfants / Jeunes ,Ej,NR,NR,
49490,49,Maine-et-Loire,Maison de services au public (MSAP) Noyant-Villages,1 Rue d'Anjou 49490 Noyant-Villages,02 41 84 13 15 ,https://www.maisondeservicesaupublic.fr/content/maison-de-services-au-public-de-noyant-villages,NR,NR,Démarches administratives,DeAd,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,NR,NR,NR,NR,
49500,49,Maine-et-Loire,Médiathèque Segré-en-Anjou-Bleu,39 Rue Charles de Gaulle 49500 Segré,02 41 61 15 50,http://mediatheque.segre.opac3d.fr/search.php?action=Accueil,NC,mediatheque@segreeanjoubleu.fr,Lecture & activités,LeAc,Autonomie,Au,Gratuit,G,Tout public,Tp,Non,,
49500,49,Maine-et-Loire,Segré - Sous-préfecture,2 Rue Lamartine 49500 Segré-en-Anjou-Bleu,02 41 94 70 60,http://www.maine-et-loire.gouv.fr/,NC,NC,Démarches administratives en ligne,DeAd,Accompagnements individuels Autonomie,AcIn- Au,Gratuit,G,Adultes / Familles,Af,Non,15/05/2020,
49520,49,Maine-et-Loire,EPIDE-Combrée,1 Rue Chevalier d'Avoynes (Combrée) 49520 Ombrée d'Anjou,02 41 94 94 14,https://www.epide.fr/a-propos-de-lepide/nos-centres/detail-centre/?centre=13&cHash=a1f93279683534976d958cf5aebb5452,Recrutement des “volontaires” M. Marc Fivel-Demoret,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,jeunes entre 18 et 25 ans,Ej,NR,NR,
49530,49,Maine-et-Loire,Centre SocioCulturel Rives de Loire,20 Rue FJA Chenouard 49530 Drain,02 40 98 26 76,https://rivesdeloire.centres-sociaux.fr/ateliers-multimedia/,NC,accueil@rivesdeloire.fr,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet  Approfondissement logiciels Approfondissement internet Culture FabLab,PrMa--PrLo--PrIn--DeAd--ApLo--ApIn--CuFa,Accompagnements collectifs Initiations  Autonomie,AcCo- In- Au,Gratuit,G,Tout public,Tp,Non,,
49530,49,Maine-et-Loire,Ludothèque d'Orée-d'Anjou,4 Rue des Noues 49530 Orée-d'Anjou,02 52 59 75 90,https://www.reseaubibliotheques-oreedanjou.fr,NC,reseaubibliotheques@oreedanjou.fr,Lecture & activités,LeAc,Autonomie,Au,Gratuit,G,Tout public,Tp,Non,,
49600,49,Maine-et-Loire,Centre Social  Evre et Mauges - Cybercentre- France Service ,10 Rue du Sous Préfet Barre 49600 Beaupréau-en-Mauges,02 41 63 06 33,https://evreetmauges.centres-sociaux.fr/,,accueil@cs-evreetmauges.fr,Prise en main du matérielPrise en main des logiciels de basePrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numérique,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-DeAd,Formations collectivesFormations individuellesInitiationsAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,Gratuit sous condition-Payant à coût solidaire,G-CondP,Jeunes-Adultes-Personnes âgées,Tp,NR,05/02/2020,
49610,49,Maine-et-Loire,Espace Multimédia Jean Carmet,37 Route de Nantes  49610 Mûrs-Erigné,02 41 57 81 85,http://b-a-ba.info/,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneConseils,PrMa-PrLo-PrIn-DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,NR,NR,NR,NR,
49610,49,Maine-et-Loire,Hôtel de ville - Mairie de Mûrs-Érigné,5 Chemin de Bellevue 49610 Mûrs-Érigné,02 41 79 78 77,http://www.murs-erigne.fr/,NC,NC,Démarches administratives en ligne,DeAd,Accompagnements individuels,AcIn,Gratuit,G,Tout public,Tp,Non,,
49610,49,Maine-et-Loire,Médiathèque de Saint-Mélaine-sur-Aubance,5 Rue Armand Brousse 49610 Saint-Mélaine,02 41 45 30 30,https://stmelaine-pom.c3rb.org/,NC,mediatheque@saint-melaine-sur-aubance.fr,Lecture & activités,LeAc,Initiations Autonomie,In- Au,Gratuit,G,Tout public,Tp,Non,,
49620,49,Maine-et-Loire,Centre social Val'Mauges,Place du Bourg Davy (La Pommeraye) 49620 Mauges-sur-Loire,02 41 77 74 29 ,http://centresocial-valmauges.fr/,NR,val.mauges@orange.fr,Prise en main du matérielPrise en main des logiciels de basePrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numérique,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,Formations collectivesFormations individuellesInitiationsAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,Gratuit-Payant,G-P,Adultes-Personnes âgées,Tp,NR,05/02/2020,
49630,49,Maine-et-Loire,Espace Public Numérique de Corné,39 Place Paul Mauget (Corné) 49630 Loire-Authion,NR,NR,NR,NR,Prise en main du matérielPrise en main des logiciels de basePrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numérique,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,Formations collectivesFormations individuellesInitiationsAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,NR,
49630,49,Maine-et-Loire,Mairie de Mazé-Milon,Place de l’Église 49630 Mazé-Milon,02 41 80 60 19,https://www.maze-milon.fr/,NC,NC,Démarches administratives en ligne,DeAd,Autonomie,Au,Gratuit,G,Tout public,Tp,Non,,
49650,49,Maine-et-Loire,Association Micro-informatique Allonnaise (AMIA),11 Place de la mairie 49650 Allonnes,02 41 52 04 01,https://allonnesassociatifs.wordpress.com/les-associations/amia/,NC,NC,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet  Approndissement logiciels Appronfondissement internet,PrMa--PrLo--PrIn--ApLo--ApIn,Initiations,In,Gratuit,G,Tout public,Tp,Non,,
49700,49,Maine-et-Loire,Centre socioculturel du Douessin,5 Place de Justice de Paix (Doué-la-Fontaine) 49700 Doué-en-Anjou,02 41 59 77 09,https://cscdouessin.centres-sociaux.fr/,NR,accueil@cscdouessin.fr,Prise en main du matérielPrise en main des logiciels de basePrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numérique,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,Formations collectivesFormations individuellesInitiationsAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,Payant,P,Adultes-Personnes âgées,Tp,NR,05/02/2020,
49700,49,Maine-et-Loire,Mairie de Louresse-Rochemenier,8 Rue Principale 49700 Louresse-Rochemenier,02 41 59 13 13,https://louresse-rochemenier.fr/,NC,NC,Démarches administratives en ligne,DeAd,Autonomie,Au,Gratuit,G,Tout public,Tp,Non,,
